('filename', 'band_number')
('0.tif', tensor(2))
('0.tif', tensor(3))
('0.tif', tensor(4))
('1.tif', tensor(5))
('1005.tif', tensor(4))
('1015.tif', tensor(5))
('1036.tif', tensor(5))
('1039.tif', tensor(5))
('104.tif', tensor(5))
('1051.tif', tensor(4))
('1052.tif', tensor(5))
('1058.tif', tensor(5))
('106.tif', tensor(5))
('1062.tif', tensor(5))
('1065.tif', tensor(5))
('107.tif', tensor(4))
('1072.tif', tensor(5))
('108.tif', tensor(5))
('1091.tif', tensor(4))
('1092.tif', tensor(5))
('1107.tif', tensor(5))
('1109.tif', tensor(5))
('1114.tif', tensor(5))
('1115.tif', tensor(5))
('112.tif', tensor(5))
('1121.tif', tensor(4))
('1122.tif', tensor(5))
('1134.tif', tensor(5))
('1141.tif', tensor(5))
('1153.tif', tensor(5))
('116.tif', tensor(5))
('1162.tif', tensor(5))
('1169.tif', tensor(5))
('118.tif', tensor(5))
('1189.tif', tensor(5))
('1190.tif', tensor(5))
('1191.tif', tensor(5))
('1193.tif', tensor(5))
('1198.tif', tensor(4))
('1203.tif', tensor(5))
('1207.tif', tensor(5))
('1210.tif', tensor(5))
('1227.tif', tensor(5))
('1228.tif', tensor(5))
('1229.tif', tensor(5))
('123.tif', tensor(5))
('1230.tif', tensor(5))
('1246.tif', tensor(5))
('1247.tif', tensor(5))
('1248.tif', tensor(5))
('1249.tif', tensor(5))
('125.tif', tensor(5))
('1250.tif', tensor(5))
('1252.tif', tensor(5))
('1253.tif', tensor(5))
('1255.tif', tensor(5))
('1261.tif', tensor(5))
('1263.tif', tensor(5))
('1264.tif', tensor(5))
('1276.tif', tensor(5))
('1278.tif', tensor(5))
('1279.tif', tensor(5))
('1280.tif', tensor(5))
('1282.tif', tensor(5))
('1287.tif', tensor(5))
('130.tif', tensor(5))
('1301.tif', tensor(5))
('1302.tif', tensor(5))
('1304.tif', tensor(5))
('1305.tif', tensor(5))
('1306.tif', tensor(5))
('1310.tif', tensor(5))
('1313.tif', tensor(5))
('1329.tif', tensor(5))
('1333.tif', tensor(5))
('1359.tif', tensor(4))
('1362.tif', tensor(5))
('1378.tif', tensor(5))
('138.tif', tensor(5))
('1381.tif', tensor(5))
('1389.tif', tensor(5))
('1403.tif', tensor(5))
('1406.tif', tensor(5))
('1407.tif', tensor(5))
('1423.tif', tensor(5))
('1427.tif', tensor(5))
('1428.tif', tensor(5))
('1444.tif', tensor(5))
('1457.tif', tensor(5))
('1476.tif', tensor(5))
('1496.tif', tensor(5))
('15.tif', tensor(5))
('150.tif', tensor(5))
('1500.tif', tensor(5))
('1510.tif', tensor(5))
('1518.tif', tensor(5))
('1521.tif', tensor(4))
('1522.tif', tensor(5))
('1531.tif', tensor(5))
('1533.tif', tensor(5))
('1535.tif', tensor(5))
('1543.tif', tensor(5))
('1544.tif', tensor(5))
('1545.tif', tensor(2))
('1545.tif', tensor(3))
('1545.tif', tensor(4))
('1547.tif', tensor(5))
('1548.tif', tensor(5))
('1568.tif', tensor(5))
('1577.tif', tensor(5))
('1579.tif', tensor(5))
('1582.tif', tensor(5))
('1585.tif', tensor(5))
('1588.tif', tensor(5))
('1591.tif', tensor(5))
('1602.tif', tensor(5))
('161.tif', tensor(5))
('1620.tif', tensor(5))
('167.tif', tensor(5))
('17.tif', tensor(5))
('178.tif', tensor(5))
('18.tif', tensor(5))
('186.tif', tensor(5))
('19.tif', tensor(5))
('192.tif', tensor(5))
('205.tif', tensor(5))
('210.tif', tensor(5))
('211.tif', tensor(5))
('214.tif', tensor(5))
('225.tif', tensor(5))
('230.tif', tensor(5))
('236.tif', tensor(5))
('239.tif', tensor(5))
('240.tif', tensor(5))
('257.tif', tensor(5))
('270.tif', tensor(5))
('273.tif', tensor(5))
('276.tif', tensor(5))
('280.tif', tensor(5))
('288.tif', tensor(5))
('294.tif', tensor(5))
('295.tif', tensor(5))
('297.tif', tensor(5))
('298.tif', tensor(5))
('311.tif', tensor(5))
('322.tif', tensor(5))
('325.tif', tensor(5))
('326.tif', tensor(5))
('334.tif', tensor(4))
('344.tif', tensor(5))
('353.tif', tensor(5))
('363.tif', tensor(5))
('373.tif', tensor(5))
('379.tif', tensor(5))
('405.tif', tensor(5))
('416.tif', tensor(5))
('427.tif', tensor(5))
('43.tif', tensor(5))
('439.tif', tensor(5))
('454.tif', tensor(5))
('456.tif', tensor(5))
('460.tif', tensor(5))
('467.tif', tensor(4))
('467.tif', tensor(5))
